filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,danceability,energy,valence
The Four Horsemen_2.mp3,0.5504457,0.18643475,2842.7256077286825,2189.8490052698567,5143.868895728521,0.1858943155798503,103.359375,-26.329678,66.03708,-38.154182,57.580906,-7.131023,10.68071,-2.586229,15.48706,-6.7096605,14.076407,-8.139519,10.466773,-14.626652,0.2529296875,0.8274180486182946,0.5580036864316003
The Frayed Ends Of Sanity_1.mp3,0.49985564,0.10541879,3024.651091365896,2529.885786757744,5807.197142522729,0.1603822550225726,95.703125,-92.93173,46.967033,-15.252911,55.720757,14.2313795,11.53564,2.1418755,12.33776,3.0673826,2.744489,2.901743,0.7437717,-5.113991,0.20826822916666668,0.8419720873092716,0.6187008324813076
The Gnome.mp3,0.31767988,0.11235323,2019.417166951804,2193.2152747883606,4171.104268194403,0.0885873231080963,117.45383522727272,-144.12001,99.43097,-10.280324,36.201336,4.0722113,12.049783,0.6764371,3.1138692,-7.9052095,-1.7845278,-7.5624065,5.2672915,-4.6929307,0.3693854028348019,0.7615533733561443,0.4760936260437254
The God That Failed_1.mp3,0.47593677,0.16996512,3195.3769746746434,2827.654352954956,6503.845573063629,0.1596715693190368,83.35433467741936,-45.910187,50.593857,5.6107316,41.82296,9.648443,13.401922,11.085504,11.182031,2.3914192,6.4820566,-0.40157786,7.979005,2.5921931,0.13623361895161293,0.8556301579739715,0.6729944915868338
The Gold It's In The.mp3,0.43046394,0.1456364,2461.122159880716,2297.396836989144,4745.395589192708,0.1296601924189814,117.45383522727272,-110.349014,75.73426,-32.089905,36.55715,24.96216,9.180552,5.0669136,15.492654,2.7202978,9.648897,5.1878695,8.502967,-5.2314267,0.33514737215909085,0.7968897727904573,0.5332868206117146
The Grand Vizier's Garden Party - Entertainment).mp3,0.3957344,0.078259505,1599.6236615795085,1771.896468629661,3132.7244747904524,0.0774241762361776,135.99917763157896,-283.83524,119.79587,20.503422,30.956064,-2.0001953,7.2277293,-0.18049118,3.6901376,4.213042,4.7370977,-0.66084117,-0.6692454,-5.3237934,0.5110560074756777,0.5975269229263606,0.38144942473665844
The Grand Vizier's Garden Party - Entrance.mp3,0.28640172,0.087170854,1939.476431613003,1756.404297588413,3443.4411324051275,0.1062040951501545,117.45383522727272,-277.02048,85.24759,-44.35808,13.57029,-6.081016,0.16079466,-4.7425604,-7.4958615,-3.3842485,2.3736022,-0.7033819,0.3099957,4.8226037,0.33514737215909085,0.6781832385290403,0.4134981803598519
The Grand Vizier's Garden Party - Exit.mp3,0.20508151,0.058105953,1591.991217584673,1537.8548035732383,2633.9222541222207,0.0882541949932391,117.45383522727272,-339.73633,96.211494,-63.276207,-10.855758,-21.927889,-10.537929,-5.726956,-1.1402338,5.246827,10.265196,4.2524676,7.901698,11.746942,0.37038478717937356,0.4759950154067738,0.3514309722051221
The Great Gig In The Sky.mp3,0.3405898,0.06850915,1269.838234088356,1698.25601961602,2409.1672599378985,0.0620581799103858,123.046875,-258.06937,150.6158,13.63936,3.4054642,10.372231,10.239554,-1.6957761,-4.837265,-6.802638,2.2985423,-0.9505214,-4.7301235,-3.367366,0.48159889776884257,0.5126419587270684,0.3392658258608381
The Great Gig in the Sky_1.mp3,0.34326506,0.093087405,1243.47198789299,1676.881550571733,2344.0353015732258,0.0601441038193593,117.45383522727272,-230.84404,151.59134,13.868094,3.4467158,10.831859,10.304227,-1.6706617,-4.7148848,-6.7179193,2.1956952,-0.97367805,-4.80367,-3.4272807,0.454715060701013,0.6580021890314391,0.3339573926107656
The Gunner's Dream.mp3,0.34175676,0.090754084,1436.0786663586248,1777.1051734755522,2693.987162887032,0.064788626761206,135.99917763157896,-218.40477,132.53673,7.4793334,14.016255,6.4564943,5.50552,-1.6460432,2.7929757,-5.014159,0.9075282,-1.7398388,-3.2518387,-3.2752752,0.5489626559005926,0.65941079730869,0.36574601332030654
The Hero's Return.mp3,0.3811281,0.11388831,1533.346878880847,1926.7663363622032,2980.410736592828,0.0704647530105458,117.45383522727272,-165.26807,134.99667,3.5958064,21.005045,6.274521,-0.7129154,-0.7797854,5.785039,-0.71084803,3.8314712,-0.9620862,0.97774875,-3.215998,0.42375311312745345,0.7226677503104677,0.39418047993336014
